iter	Passed	Remaining
306	41584	93869
307	41721	93738
308	41862	93615
309	41995	93473
310	42130	93336
311	42262	93194
312	42400	93063
313	42537	92932
314	42670	92790
315	42804	92653
316	42935	92506
317	43066	92363
318	43196	92216
319	43329	92074
320	43462	91933
321	43596	91796
322	43726	91649
323	43860	91512
324	43998	91382
325	44138	91254
326	44272	91116
327	44403	90974
328	44535	90830
329	44670	90693
330	44803	90554
331	44936	90414
332	45070	90275
333	45202	90135
334	45337	89999
335	45470	89857
336	45604	89721
337	45737	89581
338	45874	89447
339	46010	89314
340	46144	89177
341	46274	89031
342	46405	88887
343	46537	88745
344	46675	88615
345	46822	88502
346	46962	88375
347	47107	88258
348	47247	88131
349	47388	88007
350	47521	87868
351	47664	87745
352	47797	87605
353	47930	87465
354	48069	87337
355	48208	87208
356	48343	87071
357	48481	86941
358	48617	86806
359	48753	86672
360	48888	86537
361	49020	86394
362	49155	86259
363	49302	86143
364	49434	86003
365	49567	85862
366	49698	85720
367	49829	85576
368	49974	85457
369	50107	85318
370	50244	85185
371	50376	85044
372	50509	84904
373	50641	84764
374	50774	84624
375	50914	84495
376	51053	84367
377	51194	84240
378	51327	84100
379	51457	83957
380	51591	83819
381	51721	83675
382	51855	83537
383	51987	83396
384	52120	83256
385	52262	83132
386	52393	82989
387	52529	82856
388	52669	82727
389	52808	82597
390	52947	82468
391	53084	82335
392	53223	82205
393	53360	82072
394	53500	81943
395	53642	81818
396	53780	81686
397	53917	81553
398	54061	81431
399	54198	81298
400	54333	81161
401	54464	81019
402	54606	80893
403	54742	80759
404	54876	80620
405	55007	80478
406	55143	80344
407	55279	80208
408	55410	80067
409	55546	79932
410	55678	79792
411	55810	79651
412	55943	79512
413	56075	79372
414	56211	79237
415	56356	79116
416	56496	78986
417	56629	78848
418	56762	78709
419	56900	78576
420	57033	78438
421	57168	78302
422	57301	78162
423	57435	78026
424	57574	77895
425	57707	77756
426	57841	77618
427	57978	77485
428	58108	77342
429	58242	77205
430	58379	77071
431	58511	76932
432	58645	76794
433	58782	76660
434	58917	76524
435	59052	76389
436	59184	76248
437	59319	76113
438	59464	75990
439	59599	75854
440	59737	75721
441	59869	75582
442	60001	75442
443	60132	75300
444	60265	75162
445	60401	75027
446	60541	74898
447	60674	74760
448	60806	74620
449	60939	74481
450	61074	74346
451	61208	74208
452	61343	74072
453	61475	73933
454	61612	73799
455	61753	73671
456	61893	73540
457	62025	73401
458	62168	73274
459	62301	73136
460	62440	73005
461	62574	72868
462	62707	72729
463	62837	72587
464	62975	72455
465	63108	72317
466	63239	72176
467	63371	72037
468	63504	71899
469	63647	71772
470	63779	71633
471	63910	71493
472	64042	71354
473	64179	71219
474	64310	71080
475	64450	70950
476	64592	70821
477	64735	70693
478	64869	70557
479	65005	70422
480	65148	70295
481	65285	70162
482	65427	70033
483	65568	69904
484	65707	69771
485	65846	69639
486	65979	69502
487	66112	69363
488	66244	69225
489	66377	69086
490	66509	68948
491	66648	68815
492	66781	68677
493	66912	68537
494	67046	68401
495	67195	68278
496	67324	68136
497	67458	68000
498	67598	67869
499	67733	67733
500	67871	67600
501	68010	67468
502	68145	67332
503	68276	67192
504	68414	67059
505	68556	66930
506	68693	66796
507	68834	66666
508	68967	66528
509	69101	66391
510	69234	66254
511	69372	66120
512	69506	65983
513	69542	65754
514	69681	65622
515	69814	65484
516	69954	65354
517	70087	65216
518	70224	65083
519	70359	64947
520	70491	64808
521	70627	64674
522	70763	64539
523	70896	64401
524	71037	64271
525	71171	64135
526	71303	63996
527	71434	63858
528	71569	63722
529	71700	63583
530	71829	63442
531	71961	63304
532	72092	63165
533	72221	63024
534	72352	62885
535	72487	62750
536	72619	62612
537	72756	62478
538	72886	62339
539	73017	62199
540	73149	62061
541	73279	61922
542	73410	61784
543	73548	61651
544	73681	61514
545	73814	61377
546	73948	61240
547	74080	61102
548	74214	60966
549	74348	60830
550	74481	60693
551	74614	60556
552	74753	60424
553	74890	60290
554	75029	60158
555	75161	60020
556	75292	59882
557	75423	59743
558	75559	59609
559	75690	59471
560	75825	59335
561	75956	59197
562	76090	59060
563	76226	58927
564	76365	58794
565	76496	58656
566	76630	58520
567	76764	58384
568	76902	58251
569	77034	58114
570	77170	57978
571	77307	57845
572	77437	57706
573	77576	57574
574	77709	57437
575	77842	57300
576	77977	57165
577	78125	57039
578	78262	56906
579	78399	56772
580	78532	56635
581	78664	56497
582	78805	56366
583	78942	56233
584	79082	56101
585	79217	55966
586	79354	55832
587	79491	55697
588	79635	55569
589	79784	55443
590	79917	55306
591	80056	55173
592	80188	55036
593	80318	54897
594	80449	54759
595	80586	54625
596	80732	54498
597	80873	54366
598	81017	54237
599	81151	54101
600	81286	53965
601	81423	53831
602	81560	53697
603	81700	53565
604	81837	53431
605	81972	53295
606	82103	53157
607	82236	53020
608	82369	52884
609	82505	52749
610	82642	52615
611	82782	52483
612	82915	52346
613	83051	52211
614	83193	52080
615	83325	51942
616	83456	51805
617	83597	51673
618	83738	51541
619	83872	51405
620	84005	51269
621	84143	51135
622	84281	51001
623	84422	50870
624	84558	50735
625	84699	50603
626	84830	50465
627	84974	50335
628	85113	50202
629	85250	50067
630	85388	49933
631	85524	49798
632	85656	49661
633	85795	49528
634	85931	49393
635	86062	49255
636	86194	49118
637	86327	48982
638	86461	48846
639	86597	48710
640	86729	48573
641	86861	48436
642	86995	48300
643	87135	48167
644	87264	48029
645	87395	47891
646	87525	47753
647	87657	47616
648	87792	47480
649	87926	47344
650	88060	47209
651	88198	47075
652	88330	46938
653	88467	46803
654	88603	46669
655	88736	46532
656	88882	46402
657	89019	46268
658	89156	46134
659	89290	45998
660	89422	45861
661	89559	45726
662	89697	45592
663	89832	45457
664	89977	45327
665	90115	45193
666	90254	45059
667	90391	44925
668	90523	44787
669	90655	44651
670	90788	44514
671	90929	44382
672	91067	44248
673	91206	44114
674	91344	43980
675	91479	43845
676	91613	43709
677	91746	43572
678	91887	43440
679	92022	43304
680	92155	43168
681	92285	43030
682	92419	42894
683	92561	42762
684	92700	42628
685	92833	42492
686	92964	42355
687	93098	42219
688	93238	42086
689	93377	41952
690	93509	41815
691	93642	41679
692	93780	41544
693	93916	41409
694	94050	41273
695	94188	41139
696	94320	41003
697	94453	40866
698	94588	40731
699	94724	40596
700	94857	40459
701	94991	40323
702	95133	40191
703	95268	40056
704	95404	39921
705	95545	39787
706	95681	39652
707	95826	39521
708	95963	39387
709	96097	39251
710	96241	39119
711	96377	38984
712	96510	38847
713	96645	38712
714	96789	38580
715	96924	38444
716	97057	38308
717	97198	38175
718	97338	38041
719	97472	37906
720	97605	37769
721	97735	37632
722	97872	37497
723	98011	37363
724	98145	37227
725	98280	37092
726	98413	36955
727	98551	36821
728	98687	36686
729	98821	36550
730	98954	36414
731	99093	36280
732	99227	36144
733	99367	36010
734	99501	35874
735	99630	35736
736	99762	35600
737	99897	35465
738	100041	35332
739	100199	35205
740	100341	35072
741	100481	34938
742	100615	34802
743	100753	34668
744	100889	34532
745	101028	34398
746	101161	34262
747	101303	34129
748	101441	33994
749	101577	33859
750	101711	33723
751	101843	33586
752	101979	33451
753	102112	33315
754	102246	33179
755	102382	33044
756	102517	32908
757	102657	32774
758	102791	32638
759	102927	32503
760	103065	32368
761	103198	32232
762	103334	32097
763	103467	31961
764	103606	31826
765	103747	31693
766	103878	31556
767	104013	31420
768	104146	31284
769	104284	31149
770	104315	30983
771	104447	30847
772	104588	30713
773	104722	30577
774	104857	30442
775	104990	30306
776	105124	30170
777	105256	30034
778	105396	29900
779	105533	29765
780	105674	29632
781	105806	29495
782	105940	29360
783	106073	29224
784	106203	29087
785	106333	28950
786	106415	28801
787	106550	28665
788	106689	28531
789	106820	28395
790	106954	28259
791	107090	28124
792	107230	27990
793	107364	27855
794	107499	27720
795	107645	27587
796	107776	27451
797	107911	27315
798	108044	27180
799	108179	27044
800	108317	26910
801	108452	26775
802	108587	26639
803	108724	26505
804	108858	26369
805	108990	26233
806	109124	26097
807	109256	25961
808	109395	25827
809	109529	25692
810	109666	25557
811	109803	25422
812	109939	25287
813	110078	25153
814	110228	25021
815	110362	24885
816	110495	24750
817	110631	24614
818	110767	24479
819	110908	24345
820	111046	24211
821	111181	24075
822	111319	23941
823	111454	23805
824	111598	23672
825	111746	23539
826	111891	23406
827	112036	23273
828	112178	23139
829	112319	23005
830	112464	22871
831	112611	22738
832	112773	22608
833	112930	22477
834	113091	22347
835	113254	22217
836	113413	22086
837	113573	21955
838	113709	21820
839	113842	21684
840	113984	21549
841	114121	21414
842	114261	21279
843	114395	21144
844	114535	21009
845	114671	20874
846	114811	20739
847	114948	20603
848	115084	20468
849	115231	20335
850	115367	20199
851	115500	20063
852	115635	19927
853	115765	19791
854	115908	19656
855	116043	19521
856	116178	19385
857	116315	19250
858	116448	19114
859	116586	18979
860	116719	18843
861	116854	18707
862	116989	18571
863	117121	18435
864	117254	18299
865	117389	18164
866	117527	18029
867	117658	17892
868	117789	17756
869	117926	17621
870	118077	17487
871	118216	17352
872	118347	17216
873	118480	17080
874	118617	16945
875	118748	16809
876	118878	16672
877	119037	16540
878	119175	16405
879	119310	16269
880	119448	16134
881	119580	15998
882	119713	15862
883	119842	15725
884	119978	15590
885	120116	15455
886	120256	15320
887	120401	15185
888	120535	15049
889	120667	14913
890	120804	14778
891	120939	14642
892	121077	14507
893	121218	14372
894	121352	14236
895	121488	14101
896	121619	13965
897	121751	13829
898	121888	13693
899	122025	13558
900	122162	13422
901	122293	13286
902	122425	13150
903	122557	13014
904	122695	12879
905	122826	12743
906	122955	12607
907	123088	12471
908	123233	12336
909	123372	12201
910	123514	12066
911	123648	11931
912	123787	11795
913	123922	11660
914	124056	11524
915	124196	11389
916	124337	11254
917	124476	11118
918	124622	10984
919	124756	10848
920	124896	10713
921	125033	10577
922	125166	10441
923	125297	10305
924	125428	10169
925	125594	10036
926	125724	9900
927	125860	9765
928	125992	9629
929	126125	9493
930	126261	9357
931	126395	9222
932	126535	9086
933	126667	8950
934	126798	8814
935	126941	8679
936	127080	8544
937	127218	8408
938	127352	8273
939	127486	8137
940	127620	8001
941	127759	7866
942	127893	7730
943	128024	7594
944	128154	7458
945	128305	7324
946	128439	7188
947	128579	7052
948	128713	6917
949	128851	6781
950	128984	6645
951	129115	6510
952	129247	6374
953	129382	6238
954	129522	6103
955	129659	5967
956	129795	5831
957	129932	5696
958	130065	5560
959	130203	5425
960	130337	5289
961	130482	5154
962	130614	5018
963	130744	4882
964	130879	4746
965	131014	4611
966	131146	4475
967	131281	4339
968	131412	4204
969	131547	4068
970	131683	3932
971	131818	3797
972	131951	3661
973	132084	3525
974	132217	3390
975	132356	3254
976	132490	3119
977	132623	2983
978	132757	2847
979	132891	2712
980	133025	2576
981	133158	2440
982	133289	2305
983	133422	2169
984	133559	2033
985	133695	1898
986	133830	1762
987	133967	1627
988	134101	1491
989	134238	1355
990	134375	1220
991	134509	1084
992	134647	949
993	134789	813
994	134923	678
995	135057	542
996	135196	406
997	135331	271
998	135467	135
999	135603	0
