iter	Logloss
0	0.6909573873
1	0.6886467404
2	0.686811871
3	0.6843965318
4	0.6824229558
5	0.6800627708
6	0.6781397925
7	0.6759735743
8	0.6739462747
9	0.6713447571
10	0.6697456572
11	0.6673293114
12	0.6653162638
13	0.6630575392
14	0.661315706
15	0.6592434247
16	0.6579500304
17	0.6561934153
18	0.6541637845
19	0.6523053911
20	0.6509974268
21	0.6494587792
22	0.6478073862
23	0.6457336214
24	0.6438845528
25	0.6420587964
26	0.6400971413
27	0.6384134822
28	0.6366430389
29	0.6348996692
30	0.6333991157
31	0.6321270731
32	0.6306136449
33	0.6288565
34	0.6275521914
35	0.6260055966
36	0.6246527036
37	0.6230740017
38	0.6215173403
39	0.6198733648
40	0.6178416676
41	0.6168459786
42	0.6152267456
43	0.6140312089
44	0.6124786801
45	0.6107095083
46	0.609137747
47	0.6081503762
48	0.606675042
49	0.6051879459
50	0.6042357551
51	0.6025753021
52	0.6012900141
53	0.5998089049
54	0.5982159509
55	0.597152604
56	0.5958693822
57	0.594543457
58	0.5929835637
59	0.5916432275
60	0.5903946559
61	0.5888870027
62	0.5876434644
63	0.5863673952
64	0.5853241815
65	0.5841676924
66	0.5826297866
67	0.5810927285
68	0.5800155004
69	0.579070727
70	0.5780320697
71	0.5762474272
72	0.5748114056
73	0.5732077493
74	0.5722985797
75	0.5710811615
76	0.5698578623
77	0.5689403746
78	0.5678734779
79	0.5662902196
80	0.5649727715
81	0.5635983149
82	0.5626556608
83	0.5615933736
84	0.5601698558
85	0.5590218438
86	0.5579871072
87	0.5568944613
88	0.5555752648
89	0.5542784267
90	0.5531622569
91	0.5522058275
92	0.551038848
93	0.549779786
94	0.5488676495
95	0.5478054153
96	0.5468524297
97	0.5460524029
98	0.5448909336
99	0.5435479482
100	0.5424337387
101	0.5413341522
102	0.540652646
103	0.5400794347
104	0.5389758216
105	0.5378555722
106	0.5367560387
107	0.5360907449
108	0.5352258152
109	0.5343289905
110	0.533288108
111	0.5323237313
112	0.5313411289
113	0.5306073295
114	0.5296665827
115	0.5286531448
116	0.5278404024
117	0.5270415412
118	0.526327557
119	0.5256508721
120	0.5250809458
121	0.5240925683
122	0.5235199398
123	0.5226464801
124	0.5219597287
125	0.5206960572
126	0.5199140973
127	0.5189275212
128	0.5179106394
129	0.5168377558
130	0.5157052146
131	0.5145378113
132	0.5136730406
133	0.5127927992
134	0.5117882093
135	0.5112546285
136	0.5107772615
137	0.5097869237
138	0.5091831949
139	0.5083833271
140	0.5073121389
141	0.5065511068
142	0.5056436327
